name,lat,long
WCA15,37.60458,-75.69354
WCA16,37.61113,-75.70892
WCA21,37.65067,-75.73705
WCA22,37.65185,-75.73759
WCA28,37.62602,-75.75778
DB1,38.8404006,-75.2977931
DB2,38.9268156,-75.3591563
DB3,39.34551667,-75.67393333
DB4,39.3465,-75.67608333
DB5,39.3466,-75.67621667
DB6,39.34681667,-75.67635
DB7,39.34705,-75.67655
DB8,39.34758333,-75.67715
DB9,39.34405,-75.67796667
DB10,39.34301667,-75.6781
DB11,39.3462,-75.67568333
DB12,39.33025,-75.67236667
DB13,39.33368333,-75.66995
DB14,39.3339,-75.67051667
DB15,39.334183,-75.66619
DB16,39.33743333,-75.66411667
DB17,39.34175,-75.6668
DB18,39.35296667,-75.72688333
DB19,39.35345,-75.72763333
DB20,39.34176667,-75.71565
DB21,39.34101667,-75.7137
DB22,39.34699,-75.71308
DB23,39.34721,-75.71423
DB24,39.29503,-75.74326
DB25,39.29389,-75.74324
DB26,39.30451,-75.71709
DB27,39.31449,-75.71524
DB28,39.31478,-75.71614
DB29,39.35854,-75.69208
DB30,39.35913,-75.69432
DB31,38.58666,-75.41337
DB32,38.54221,-75.44345
DB33,39.05825,-75.43767
DB34,39.05692,-75.43864
DB35,39.05645,-75.43761
DB36,39.05663,-75.43678
DB37,39.05687,-75.43598
DB38,39.05705,-75.43516
DB39,39.05545,-75.4377
DB40,39.0663,-75.60945
DB41,39.06634,-75.60957
DB42,39.06729,-75.61071
DB43,39.07539,-75.63367
DB44,39.07422,-75.63319
DD1,38.54957,-75.65624
